# ─────────────────┬────────────┬──────────┬───────────────────────────────────────────┐
#│     Regime      │  UT date   │ Exposure │                   Moon                    │
#├─────────────────┼────────────┼──────────┼───────────────────────────────────────────┤
#│ dark            │ 2026-03-15 │ 1200 s   │ 16% lit, below horizon, 135° away,        │
#│                 │            │          │ airmass 1.23                              │
#├─────────────────┼────────────┼──────────┼───────────────────────────────────────────┤
#│ grey            │ 2026-02-23 │ 600 s    │ 34% lit, above horizon, 37° away, airmass │
#│                 │            │          │  1.37                                     │
#├─────────────────┼────────────┼──────────┼───────────────────────────────────────────┤
#│ bright          │ 2026-06-03 │ 600 s    │ 92% lit, above horizon, 32° away, airmass │
#│ ("light")       │            │          │  1.31                                     │
#└─────────────────┴────────────┴──────────┴───────────────────────────────────────────
moon_regime,channel,night,frame,mjd,texp_s,airmass,slit_arcsec,binspat,binspec,moon_illum,moon_alt_deg,moon_sep_deg,wavelength_A,sb_ab_mag_arcsec2,flam_erg_s_cm2_A_arcsec2,segment
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3211.770,21.6490,2.310610e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3212.804,21.6716,2.261564e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3213.838,21.7978,2.012037e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3214.873,21.8183,1.973243e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3215.907,21.9370,1.767738e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3216.941,21.9226,1.790149e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3217.976,21.9116,1.807318e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3219.010,21.9531,1.738417e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3220.044,22.0912,1.529788e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3221.079,22.0988,1.518072e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3222.113,22.1522,1.444307e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3223.147,22.2170,1.359711e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3224.181,22.2014,1.378552e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3225.216,22.0959,1.518255e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3226.250,21.9956,1.664079e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3227.284,22.0773,1.542446e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3228.318,22.1283,1.470746e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3229.352,22.1978,1.378715e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3230.386,22.1854,1.393677e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3231.420,22.1846,1.393823e-17,base
