# Palomar sky spectrum for "grey" conditions
# Measured by Christoffer Fremling, 2026-07
# Compiled by Chaz Shapiro, 2026-08-07

wavelength_A,flam_erg_s_cm2_A_arcsec2
3573.213500000071,2.729362250000023e-17
3573.9012500001118,2.5799032500000317e-17
3574.5890000000363,2.42765400000003e-17
3575.2767500000773,2.402554750000013e-17
3575.964500000002,2.4802667500000633e-17
3576.6522499999264,2.6281437500001028e-17
3577.3399999999674,2.782587500000104e-17
3578.027999999933,2.843112500000093e-17
3578.715749999974,2.878169750000053e-17
3579.403500000015,2.851371749999987e-17
3580.091000000015,2.845567499999967e-17
3580.778500000015,2.833410249999986e-17
3581.466250000056,2.8065224999999756e-17
3582.153750000056,2.788550999999977e-17
3582.841500000097,2.7080627499999925e-17
3583.529250000138,2.5772459999999974e-17
3584.216750000138,2.4369365000000153e-17
3584.904500000179,2.3278257500000566e-17
3585.592000000179,2.290683499999999e-17
3586.279500000179,2.2992389999999574e-17
3586.967000000179,2.297183499999933e-17
3587.654500000179,2.2996627499999206e-17
3588.3422500001034,2.2111709999999572e-17
3589.0297500001034,2.1248277500000014e-17
3589.717500000028,2.0375910000000488e-17
3590.405000000028,1.9300157500000502e-17
3591.092500000028,1.9904592500000542e-17
3591.780000000028,2.0540085000000117e-17
3592.467500000028,2.112103999999965e-17
